time,distance,speed,throttle,brake,gear,rpm
0.0,0,80,20,false,2,6000
0.1,8,95,45,false,2,6800
0.2,18,115,70,false,3,7600
0.3,31,142,90,false,4,8500
0.4,47,171,100,false,5,9300
0.5,66,203,100,false,6,10100
0.6,89,238,100,false,7,11000
0.7,115,272,100,false,8,11800
0.8,143,301,100,false,8,12100
0.9,171,318,100,false,8,12300
1.0,196,290,20,true,7,11200
1.1,216,245,5,true,6,9900
1.2,231,198,0,true,5,8500
1.3,243,151,0,true,4,7200
1.4,252,126,10,false,3,6400
1.5,262,139,35,false,3,7000
1.6,276,162,60,false,4,8000
1.7,294,191,80,false,5,9100
1.8,316,223,100,false,6,10100
1.9,342,256,100,false,7,11100
2.0,371,289,100,false,8,11900
